"X","Y"
332366.210,7390556.130
332367.130,7390556.320
332371.420,7390556.140
332371.520,7390556.250
332547.130,7390556.480
332547.660,7390556.610
332548.120,7390556.180
332547.880,7390556.400
332554.100,7390556.540
332076.070,7390556.720
332297.600,7390557.010
332299.180,7390556.970
332310.560,7390556.670
332310.960,7390556.790
332334.800,7390557.000
332370.410,7390556.710
332370.900,7390556.980
332372.940,7390556.630
332373.250,7390556.820
332547.590,7390556.740
332547.440,7390556.680
332548.010,7390556.930
332553.850,7390556.800
332554.510,7390556.960
332554.440,7390556.970
332554.690,7390556.890
332076.650,7390557.200
332076.900,7390557.280
332077.230,7390557.580
332078.030,7390557.590
332298.320,7390557.580
332299.460,7390557.550
332309.340,7390557.420
332309.820,7390557.170
332310.520,7390557.570
332310.720,7390557.290
332334.600,7390557.360
332369.890,7390557.490
332371.960,7390557.300
332547.230,7390557.440
332547.280,7390557.300
332554.410,7390557.310
332554.590,7390557.610
332075.850,7390557.680
332076.620,7390558.060
332076.450,7390558.050
332077.330,7390557.690
332308.940,7390557.840
332309.920,7390557.870
332310.360,7390557.710
332310.480,7390557.770
332371.010,7390557.860
332371.110,7390557.950
332554.640,7390557.850
332554.390,7390557.710
332076.350,7390558.380
332076.930,7390558.430
332076.940,7390558.260
332077.960,7390558.570
332297.170,7390558.150
332297.490,7390558.310
332309.640,7390558.300
332309.580,7390558.280
332372.050,7390558.230
332372.430,7390558.430
332374.590,7390558.450
332554.260,7390558.450
332554.800,7390558.390
332076.010,7390558.990
332076.580,7390558.830
332076.750,7390558.940
332296.600,7390558.950
332297.850,7390558.770
332298.550,7390558.940
332308.710,7390559.010
332373.710,7390558.980
332375.530,7390558.800
332554.640,7390558.670
332554.410,7390559.050
332554.930,7390559.040
332076.000,7390559.550
332076.420,7390559.430
332076.250,7390559.420
332265.340,7390559.120
332296.650,7390559.140
332296.210,7390559.600
332296.910,7390559.250
332297.430,7390559.440
332297.790,7390559.530
332307.700,7390559.500
332308.660,7390559.260
332309.400,7390559.420
332310.180,7390559.300
332374.750,7390559.410
332554.320,7390559.170
332075.140,7390559.690
332074.850,7390560.020
332075.690,7390560.100
332075.910,7390560.070
332076.270,7390560.060
332296.030,7390559.670
332297.530,7390559.690
332307.950,7390559.940
332308.580,7390560.050
332309.430,7390559.690
332375.870,7390559.790
332376.260,7390559.990
332554.520,7390560.060
332074.550,7390560.490
332074.790,7390560.590
332075.520,7390560.430
332075.830,7390560.130
332076.240,7390560.250
332077.550,7390560.270
332295.660,7390560.380
332295.800,7390560.240
332295.740,7390560.580
332297.010,7390560.170
332296.880,7390560.130
332308.910,7390560.240
332309.530,7390560.210
332554.900,7390560.280
332074.360,7390560.770
332075.280,7390560.630
332075.490,7390561.070
332075.260,7390560.990
332075.300,7390560.980
332075.790,7390560.890
332075.950,7390560.650
332077.480,7390560.930
332296.000,7390561.070
332296.290,7390560.760
332307.340,7390560.900
332309.160,7390560.830
332382.710,7390560.860
332383.130,7390561.070
332383.030,7390560.750
332384.210,7390561.110
332074.000,7390561.580
332074.420,7390561.600
332075.020,7390561.210
332075.180,7390561.490
332075.730,7390561.120
332075.860,7390561.440
332077.430,7390561.190
332106.310,7390561.530
332295.210,7390561.510
332295.350,7390561.520
332295.560,7390561.320
332295.920,7390561.130
332297.100,7390561.380
332306.660,7390561.400
332307.950,7390561.350
332308.820,7390561.480
332382.260,7390561.520
332383.140,7390561.580
332384.020,7390561.150
332384.550,7390561.310
332555.100,7390561.360
332073.950,7390562.030
332074.250,7390561.920
332074.880,7390561.730
332077.200,7390561.760
332295.270,7390561.620
332295.510,7390561.830
332295.680,7390561.710
332296.040,7390561.920
332296.280,7390561.960
332306.820,7390561.840
332307.540,7390561.960
332307.520,7390561.750
332308.080,7390562.020
332383.120,7390561.800
332383.210,7390561.960
332384.020,7390561.620
332385.160,7390562.060
332554.860,7390561.990
332555.580,7390561.720
332075.010,7390562.480
332075.510,7390562.410
332295.360,7390562.220
332296.450,7390562.150
332307.400,7390562.290
332308.260,7390562.350
332381.850,7390562.270
332382.790,7390562.510
332384.090,7390562.130
332387.040,7390562.340
332387.790,7390562.470
332555.240,7390562.200
332555.910,7390562.530
332556.210,7390562.350
332073.740,7390562.690
332074.500,7390562.990
332137.690,7390562.870
332296.090,7390563.060
332307.210,7390562.650
332307.500,7390562.840
332386.140,7390562.970
332388.010,7390562.640
332555.160,7390562.900
332555.560,7390562.710
332555.360,7390562.780
332555.690,7390563.080
332555.700,7390562.730
332555.700,7390563.000
332137.440,7390563.440
332137.690,7390563.310
332261.040,7390563.470
332295.390,7390563.150
332295.460,7390563.460
332306.230,7390563.550
332384.640,7390563.170
332385.000,7390563.360
332387.050,7390563.340
332387.650,7390563.440
332390.040,7390563.300
332390.300,7390563.480
332555.140,7390563.490
332555.970,7390563.160
332137.250,7390563.690
332260.910,7390563.800
332307.290,7390564.040
332385.940,7390563.810
